suite,task_id,initial_state_index,seed,profile,runtime,success,environment_steps,steady_p50_seconds,steady_p95_seconds,startup_seconds,request_per_second,queue_age_p95_steps,discard,depletion,disconnects,recoveries,fallback,trace_sha256
libero_object,5,48,2026082491,fixed_0950,lerobot_weighted_average,True,199,0.09460704948287457,0.19235833608545366,5.230364545015618,4.251063137277861,,372,,,,,c118301b57d1635ea6c4e9cef9c0b89f205755938c7a0850cf5ea30073cc35ea
libero_object,5,49,2026082492,fixed_0950,lerobot_weighted_average,False,300,0.09326146240346134,0.17353889393853023,5.287599884206429,7.464427465200563,,1710,,,,,2f2e195dd68e3fc247e8ff15ed4fff36005684b514360bbec33302e85abd6b19
libero_object,5,47,2026082490,jitter_0600_pm0400_v2,lerobot_weighted_average,True,143,0.09488042199518532,0.13089816237334162,5.346912952139974,5.454973281810878,,437,,,,,85c4915ebde6b37bec432379d2851700aa47265ca22d4e765dcf90eb481bdd0b
libero_object,5,48,2026082491,jitter_0600_pm0400_v2,lerobot_weighted_average,True,160,0.11541487299837172,0.1443908920045942,5.371666620951146,5.38811866426568,,477,,,,,ebfba34c55fddd003eb05b2aa96a5a2c41fc33668119f5b4ba88f0e5483cccfe
libero_object,5,49,2026082492,jitter_0600_pm0400_v2,lerobot_weighted_average,False,300,0.12843018397688866,0.1685150187229737,5.251980235101655,5.678815277456128,,1133,,,,,a554d3929435b079c2a6ee022808617046bb0b864fe4ed89cd420bebacddaef5
libero_object,5,47,2026082490,burst_0250_to2000_v2,lerobot_weighted_average,False,300,0.09778630407527089,0.1690973474644125,5.227950067957863,4.87073139983563,,846,,,,,9d8964338d932dbdf055176927ded9c9f6b7de4612795b46991d147539e778ec
libero_object,5,48,2026082491,burst_0250_to2000_v2,lerobot_weighted_average,False,300,0.12024356343317777,0.1710567658417858,5.240711166057736,4.642193790217511,,778,,,,,1ad22f8b220e0747505a0f23e03e33c8d2d8165274f1430cb7a0805ab79503ca
libero_object,5,49,2026082492,burst_0250_to2000_v2,lerobot_weighted_average,False,300,0.13151675602421165,0.18655260551022362,5.299075801158324,4.230524688034299,,767,,,,,6c957c2486eb002a64c29e92d137373bd5722c03891bc0fc62ed8777e9c0a400
libero_object,5,47,2026082490,fixed_0000,lerobot_latest_only,True,127,0.10510586807504296,0.19903790508396924,5.818035218864679,3.2252996376733662,,74,,,,,ab7f45947fbac5d4e26c07627378a52848cd3470e8cfdffa6d6fe90084af9b55
libero_object,5,48,2026082491,fixed_0000,lerobot_latest_only,True,130,0.14321658748667687,0.18413365855813027,5.321089507080615,3.013720290034163,,82,,,,,fc1ffa772ade43a90a875c8ce01055c3a0c358259a48c361a2201af929875eaf
libero_object,5,49,2026082492,fixed_0000,lerobot_latest_only,True,129,0.13784010708332062,0.2025840764166786,5.236314556095749,2.913223303359107,,88,,,,,a18b7a0f66b57fb7640a0b004c0a9e31fb10cd9e610e4fc05a3a0128f6cca10e
