model_key,model_revision,runtime,delay_profile,task_id,episode_index,initial_state_index,seed,success,environment_steps,hold_fraction,dropped_prefix_steps,delivery_latency_p50_seconds,delivery_latency_p95_seconds,inference_latency_p50_seconds,inference_latency_p95_seconds,action_discontinuity_mean_l2,action_discontinuity_max_l2,action_acceleration_max_l2,peak_cuda_memory_mib,wall_clock_episode_seconds,source_commit,trace_sha256,video_sha256
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,1,3,2026081601,True,150,0.0,45,0.14567141607403755,1.4520841761026486,0.13162389863282442,1.4384133319370402,0.20773784908225398,6.280250072479248,12.555703163146973,12250.8251953125,11.897108905017376,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,cde2b75987164bb57819019450ce57ff90e1b5b505058f332f34a4cb2581d1bd,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,2,5,2026081602,True,144,0.0,47,0.14279252523556352,1.47005188115872,0.1296519786119461,1.4523203535471065,0.24762216719661975,6.28275728225708,6.284674644470215,12250.8251953125,11.606926946900785,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,096c8eea9d04288e2182f5495895233c5302eba0c8793b7ca12017bb0277b6b0,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,3,6,2026081603,True,142,0.0,47,0.16726968809962273,1.5150144776795014,0.15389839466661215,1.503021319676186,0.2495956935090878,6.281335830688477,6.284100532531738,12250.8251953125,11.656332929152995,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,9cc3bf6a85f3b8317edd18032e08a90f027e025a74facdcba0a85c90e9d92a72,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,4,7,2026081604,True,153,0.0,46,0.1516124119516462,1.226831627311185,0.13876523519866168,1.2161648264154792,0.03960101826937477,2.00087571144104,2.000999927520752,12250.8251953125,12.027416956145316,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,aeed014024491d5d8809ebf9ac6edb3d0166255bf77c7f6e4f7ded0d8877f177,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,5,8,2026081605,True,141,0.0,45,0.137378694023937,1.4817113830242261,0.12428660225123167,1.4676301576662762,0.34046695564673946,6.281757354736328,12.550481796264648,12250.8251953125,11.532504010014236,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,7c23c2c40da43815e4e1f2f4b0f6d678cbc5d461ec26e0191a1fa6f469125597,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,6,9,2026081606,True,148,0.0,48,0.14049734501168132,1.5010157255455807,0.12793814530596137,1.487251259759064,0.3147664370639313,6.59030294418335,12.551681518554688,12250.8251953125,11.826853262726218,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,68496c17c2387148bb3c2d1c5f76346467157551d6d50df652c1e4b34c035372,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,7,10,2026081607,True,142,0.0,41,0.15109306294471025,1.4502738742623433,0.13710305886343122,1.4343291540164456,0.027792176859228745,2.0000228881835938,2.000321626663208,12250.8251953125,11.456905843224376,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,75d9a4eb020216c4ae71df4008f5d180bd5ac6c4b1b6599e66bb4bb07fb2c539,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,8,11,2026081608,True,153,0.0,50,0.1539844844955951,1.3167151351226494,0.13918867777101696,1.3018337197136134,0.039522370168828945,2.0000884532928467,2.0001418590545654,12250.8251953125,12.157486581709236,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,462eec6d399422c8765945a7dd8fbebd48f6cb1e328a770e253e9f64ba43ee26,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0000,0,9,12,2026081609,True,151,0.0,48,0.15513552748598158,1.2466864787274972,0.14028142858296633,1.2312648999504745,0.15335204581419626,6.581209659576416,6.580598831176758,12250.8251953125,11.974027904681861,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,dfaf22f999c3a45f8e992ed70fab80837e823624ff244c6a4932f9465ecb086a,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,0,1,2026081600,True,168,0.03571428571428571,1301,1.0518887382932007,1.0719165776856243,0.0712234117090702,0.08124747350811959,0.0488076165895686,2.0001096725463867,4.000123023986816,12250.8251953125,13.718217425979674,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,90044eb89fc89194314803d567cd01273771cbd5a7b3411d16b01a06bcd1a032,8aebe47f6067eaa9961a23fa15f1f6ca65d4322ea19730f0fa54a4962e6c4bf3
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,1,3,2026081601,True,189,0.037037037037037035,1401,1.0548538640141487,1.0828038328327239,0.0708237150683999,0.09787826528772703,0.2594365736697503,6.592337131500244,12.722232818603516,12250.8251953125,14.713529254309833,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,0c00a0f7f7771ad701efc4aea7faedb01024495a793014eb9e55f956a341a3fb,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,2,5,2026081602,True,182,0.03296703296703297,1398,1.0528150470927358,1.082258940441534,0.07219300605356693,0.09053252451121807,0.19737015118776147,6.281620025634766,12.559070587158203,12250.8251953125,14.420665021054447,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,c7313ffa490eebeba73653c8247170e111dad368a59a38b5afb53ada2c88f59e,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,3,6,2026081603,True,183,0.03278688524590164,1395,1.0529087842442095,1.0756858584936708,0.07574466662481427,0.08258987031877041,0.20818058617034374,6.280916213989258,12.560674667358398,12250.8251953125,14.376679386943579,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,6f1b50f52454f154baa040403f1430d63d8e0977f3f8aa4f6d83db8a28a796fb,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,4,7,2026081604,True,189,0.037037037037037035,1346,1.0570495463907719,1.0854175896383822,0.07313105370849371,0.10087861241772768,0.033650431452576623,2.0000205039978027,2.000148057937622,12250.8251953125,14.73759066220373,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,d9cd7b06c40a248fa6b664857d97295f782e84127194027c6f1430267bd25b43,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,5,8,2026081605,True,184,0.043478260869565216,1194,1.060436868807301,1.1025962769053876,0.07209818554110825,0.11385653237812218,0.12753874262097634,6.258724212646484,6.269128322601318,12250.8251953125,14.623435003682971,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,35ed91a6e62113b4f824b1056a04d242bdfa3ccaeed48367cb5114196f188535,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,6,9,2026081606,True,188,0.03723404255319149,1305,1.059453848283738,1.0906564283184708,0.07531218160875142,0.10037649546284229,0.15858504035445378,6.2790021896362305,6.284416198730469,12250.8251953125,14.784463834017515,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,20422d44e153a9e8618e18eb72c0af627bf72d16de4d83afdd96ec7d7356b370,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,7,10,2026081607,True,177,0.03954802259887006,1202,1.0590040045790374,1.0972791482694446,0.07365819532424212,0.10120436139404773,0.09563412428277926,6.278644561767578,12.554847717285156,12250.8251953125,14.205613425932825,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,5d2971161e75d11a5d8564c888f407c266effaa06a0fd08621bb98a3260a5b9b,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,8,11,2026081608,True,185,0.032432432432432434,1436,1.0559732760302722,1.0763025620020925,0.07362995808944106,0.0942610865458846,0.10255991485040716,6.281038284301758,6.288880348205566,12250.8251953125,14.857521408703178,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,87df688fe4efe2a80b3912f10096e8794d0cdcf259982907237886341057a257,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,fixed_0950,0,9,12,2026081609,True,183,0.03278688524590164,1428,1.0532104475423694,1.0907892483286559,0.07175712892785668,0.08990254858508706,0.034083089406172246,2.0000407695770264,2.000089645385742,12250.8251953125,14.482005849014968,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,944b87a84ebc563f2634e0363396e6e015ebf951405b58869cd0a7e938448e2a,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,0,1,2026081600,True,144,0.1875,267,1.0844001602381468,2.7878497727215232,0.12204351415857673,1.8261137872934283,0.04231876509029653,2.0000431537628174,2.000013589859009,12250.8251953125,12.39554987102747,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,928af390b64b7cc5fc8a5da3f0c61507013aad874de7a17d6de4319b6f5f0121,b51002872c90d2d68615f4789bdc4473113a281f21b59f4ae661860509594a26
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,1,3,2026081601,True,144,0.2222222222222222,272,1.1158611024729908,2.789933810941869,0.15400845184922218,1.8272784673608782,0.04013583338917135,2.0030598640441895,2.0030598640441895,12250.8251953125,12.440584347583354,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,71dd61b5efba433cd5bb5c806e2afee49d89c89c37f70700da6bc2b3bba2fab8,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,2,5,2026081602,True,137,0.16058394160583941,242,1.078863267088309,2.991639714478512,0.11689709569327533,2.03073417828418,0.02916098353863858,2.000018358230591,2.000018358230591,12250.8251953125,12.126366334035993,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,0fa2bae3e43552cac6694723a934f9072bf7f6f62a54b9ee9b4b9467add0871a,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,3,6,2026081603,True,136,0.18382352941176472,245,1.1028934970963746,2.9886949145700754,0.1379491190891713,2.0255833049770415,0.16776821971353556,6.28041934967041,6.5551862716674805,12250.8251953125,12.012471746653318,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,19b193ba616ca07770c120c695e384c6447c672c41795dc8bfefc02514c65595,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,4,7,2026081604,True,143,0.16783216783216784,264,1.0799059211276472,2.767122899554664,0.11804077168926597,1.8048362547531664,0.041922484517989446,2.0000228881835938,2.0002400875091553,12250.8251953125,12.385481621604413,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,769a9e94d5fe43b8e693e6a27f635b495a0d6484df4ff99441278192099674d3,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,5,8,2026081605,True,132,0.21212121212121213,248,1.1257797491271049,3.10201022494584,0.1631294870749116,2.1380891481181576,0.2544606035710348,6.490172386169434,12.527610778808594,12250.8251953125,12.058652532286942,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,181480d8fee3e7b4635bbc97aca00cb9e5e7034e0c4d0651a79de8c08c193ad9,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,6,9,2026081606,True,137,0.18248175182481752,245,1.1035731150768697,3.027230175351721,0.13972070743329823,2.0624374454142496,0.21305202450329327,6.2790021896362305,6.527690410614014,12250.8251953125,12.150230599101633,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,7fe8938771368fab525f699e53ec1937d5065c0ada2a308b37478fea0edaed86,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,7,10,2026081607,True,135,0.18518518518518517,245,1.087789161130786,3.1398195987334443,0.12461851933039725,2.1767732764361396,0.3083637731511201,6.281122207641602,12.558835983276367,12250.8251953125,12.289665360935032,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,562e68eb0d06e71d9d3720dc45d18994c2a5cfc18a1976151665a44b9b557985,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,8,11,2026081608,True,145,0.1793103448275862,266,1.0896697281859815,2.827551378123456,0.12315188907086849,1.8662764636799631,0.04039495007924011,2.0004820823669434,2.0005128383636475,12250.8251953125,12.620315817650408,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,1a4e3ae5c0540c113f649a7fa6606d3c436a21fe3e541bc1bb0a1828cea057b2,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,actionstream_aligned,fixed_0950,0,9,12,2026081609,True,145,0.2206896551724138,272,1.1229342673905194,2.80318039413541,0.16192818712443113,1.839319542888546,0.040255349868352316,2.000730276107788,2.000730276107788,12250.8251953125,12.50459879077971,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,a2e7197f90c0b126c153916da9e3842dfcb08f78d96931b5a700607fccb0ff25,
xvla,12e8783e996944f5c97e490d37d4c145484ed70a,lerobot_latest_only,jitter_0500_pm0250,0,0,1,2026081600,True,151,0.019867549668874173,470,0.6307349312119186,0.8903909174259751,0.07400781288743019,0.1337448239326477,0.027491777619967857,2.0000205039978027,2.0000123977661133,12250.8251953125,12.49339841073379,0d6ec639e17c4bf2dc4d9aedc764fb1e0842e8bc,098edb5163725e9ed9170ce5b963fa4c663f0b0642cb6e0da9d584c8c47739f8,6bd07306272f74827bc7d09947db787dde3b3b2be3b397aa81922820227fe159
