ci95_high,ci95_low,delay_profile,estimate_mean,estimate_runtime,metric,model,paired_episode_count,paired_mean_difference,paired_relative_difference_percent,reference_mean,reference_runtime,split
27.0,-21.134999999999998,burst_0250_to2000_holdout,186.06666666666666,actionstream_backend_aligned,environment_steps,xvla,15,5.666666666666667,9.973157611881051,180.4,lerobot_latest_only,holdout
0.0,-0.5333333333333333,burst_0250_to2000_holdout,0.5333333333333333,actionstream_backend_guarded,success,xvla,15,-0.26666666666666666,,0.8,lerobot_latest_only,holdout
90.2683333333333,12.131666666666668,burst_0250_to2000_holdout,232.6,actionstream_backend_guarded,environment_steps,xvla,15,52.2,39.780981545418555,180.4,lerobot_latest_only,holdout
0.06666666666666667,-0.4666666666666667,burst_0250_to2000_holdout,0.6,lerobot_weighted_average,success,xvla,15,-0.2,,0.8,lerobot_latest_only,holdout
70.93333333333334,-11.134999999999998,burst_0250_to2000_holdout,208.8,lerobot_weighted_average,environment_steps,xvla,15,28.4,23.87699959998537,180.4,lerobot_latest_only,holdout
0.3333333333333333,0.0,burst_0250_to2000_holdout,0.9333333333333333,sync_hold,success,xvla,15,0.13333333333333333,,0.8,lerobot_latest_only,holdout
-25.266666666666666,-82.26666666666667,burst_0250_to2000_holdout,130.13333333333333,sync_hold,environment_steps,xvla,15,-50.266666666666666,-24.196839825038293,180.4,lerobot_latest_only,holdout
0.26666666666666666,-0.13333333333333333,fixed_0000,0.8,actionstream_backend_aligned,success,xvla,15,0.06666666666666667,,0.7333333333333333,lerobot_latest_only,holdout
52.66999999999995,-31.266666666666666,fixed_0000,184.93333333333334,actionstream_backend_aligned,environment_steps,xvla,15,13.466666666666667,22.123220479771454,171.46666666666667,lerobot_latest_only,holdout
0.26666666666666666,-0.13333333333333333,fixed_0000,0.8,actionstream_backend_guarded,success,xvla,15,0.06666666666666667,,0.7333333333333333,lerobot_latest_only,holdout
51.66833333333331,-32.06666666666667,fixed_0000,184.06666666666666,actionstream_backend_guarded,environment_steps,xvla,15,12.6,21.348216176963923,171.46666666666667,lerobot_latest_only,holdout
0.0,-0.2,fixed_0000,0.6666666666666666,lerobot_weighted_average,success,xvla,15,-0.06666666666666667,,0.7333333333333333,lerobot_latest_only,holdout
43.53333333333333,1.0666666666666667,fixed_0000,189.0,lerobot_weighted_average,environment_steps,xvla,15,17.533333333333335,13.355946240128105,171.46666666666667,lerobot_latest_only,holdout
0.4,0.0,fixed_0000,0.9333333333333333,sync_hold,success,xvla,15,0.2,,0.7333333333333333,lerobot_latest_only,holdout
-3.5983333333333576,-83.535,fixed_0000,130.13333333333333,sync_hold,environment_steps,xvla,15,-41.333333333333336,-15.016809117529181,171.46666666666667,lerobot_latest_only,holdout
0.2,-0.2,fixed_0250,0.8666666666666667,actionstream_backend_aligned,success,xvla,15,0.0,,0.8666666666666667,lerobot_latest_only,holdout
31.666666666666668,-34.401666666666664,fixed_0250,149.0,actionstream_backend_aligned,environment_steps,xvla,15,1.1333333333333333,5.819945741234336,147.86666666666667,lerobot_latest_only,holdout
0.2,-0.2,fixed_0250,0.8666666666666667,actionstream_backend_guarded,success,xvla,15,0.0,,0.8666666666666667,lerobot_latest_only,holdout
31.333333333333332,-34.86833333333333,fixed_0250,148.66666666666666,actionstream_backend_guarded,environment_steps,xvla,15,0.8,5.657209264495956,147.86666666666667,lerobot_latest_only,holdout
-0.06666666666666667,-0.4666666666666667,fixed_0250,0.6,lerobot_weighted_average,success,xvla,15,-0.26666666666666666,,0.8666666666666667,lerobot_latest_only,holdout
86.2,11.0,fixed_0250,194.6,lerobot_weighted_average,environment_steps,xvla,15,46.733333333333334,38.36758486139498,147.86666666666667,lerobot_latest_only,holdout
