bounded_hold_steps_sum,completed_inferences_per_second_mean,delay_profile,delivery_latency_p50_seconds_median,delivery_latency_p95_seconds_median,depletion_safe_hold_steps_sum,disconnects_sum,dropped_prefix_steps_sum,environment_steps_per_second_mean,episodes,fallback_activations_sum,fallback_chunks_accepted_sum,gpu_generated_actions_per_second_p50_median,hold_steps_sum,inference_latency_p50_seconds_median,inference_latency_p95_seconds_median,mean_environment_steps,model,peak_cuda_memory_mib_max,queue_age_p50_steps_median,queue_age_p95_steps_median,queue_depth_p50_steps_median,queue_depth_p95_steps_median,recoveries_sum,runtime,split,success_rate,successes,suite
,2.1888019594611072,burst_0250_to1800_canary,0.6082807420752943,2.2427029612474145,,,722.0,19.312958465833297,1,,,164.10334397485332,2.0,0.3046860520262271,0.3640485134441405,300.0,smolvla,933.728515625,,,,,,lerobot_latest_only,canary,0.0,0,libero_object
,1.7106351044321015,fixed_0000,0.3068540629465133,0.5589815030107275,,,76.0,18.97249843097422,1,,,205.71135098157941,0.0,0.24305902305059135,0.35459698096383363,122.0,smolvla,933.728515625,,,,,,lerobot_latest_only,canary,1.0,1,libero_object
,3.6357923629528432,fixed_0950,1.208735981490463,1.2416201850981452,,,1260.0,18.487079811624625,1,,,217.10229063297734,1.0,0.2303061835700646,0.24185247685527428,300.0,smolvla,933.728515625,,,,,,lerobot_latest_only,canary,0.0,0,libero_object
,2.5874307227350135,burst_0250_to1800_canary,0.6742939378600568,2.242852858314291,,,678.0,19.4057304205126,1,,,150.50292313593545,7.0,0.33221946097910404,0.4131639837985858,300.0,smolvla,1471.6044921875,,,,,,lerobot_rtc,canary,0.0,0,libero_object
,1.6469479722719662,fixed_0000,0.44962329999543726,0.6834190478548408,,,203.0,19.763375667263595,1,,,144.09701541412446,0.0,0.34698844980448484,0.4981340690981595,300.0,smolvla,1471.6044921875,,,,,,lerobot_rtc,canary,0.0,0,libero_object
,2.751233433663852,fixed_0950,1.314800534863025,1.3855960499495268,,,1079.0,18.34155622442568,1,,,151.8942676061019,6.0,0.3291763460729271,0.41656505805440247,300.0,smolvla,1471.6044921875,,,,,,lerobot_rtc,canary,0.0,0,libero_object
,0.2860538979863447,burst_0250_to1800_canary,0.48831515305209905,2.1553561808541417,,,0.0,14.302694899317233,1,,,239.52241300894354,0.0,0.20874873199500144,0.21153679100098088,300.0,smolvla,933.728515625,,,,,,sync_hold,canary,0.0,0,libero_object
,0.3691165600231515,fixed_0000,0.21475534257479012,0.22217212250689045,,,0.0,18.455828001157574,1,,,241.04544830136305,0.0,0.2074297621147707,0.21443638834170997,300.0,smolvla,925.603515625,,,,,,sync_hold,canary,0.0,0,libero_object
,0.27332973533401367,fixed_0950,1.1628158170497045,1.167985741281882,,,0.0,13.666486766700684,1,,,242.35819007313134,0.0,0.2063062114175409,0.21074952522758394,300.0,smolvla,933.728515625,,,,,,sync_hold,canary,0.0,0,libero_object
4.0,0.82686742388736,burst_0250_to1800_canary,0.4601951059885323,3.5540626573027083,47.0,1.0,121.0,10.899616042151564,1,0.0,0.0,219.7122950202323,51.0,0.1365421994123608,2.4908734334749134,145.0,xvla,12258.9501953125,14.0,27.349999999999994,11.0,23.0,1.0,actionstream_backend_aligned,canary,1.0,1,libero_goal
0.0,1.125760531670899,disconnect_recovery_canary,0.43909938796423376,2.3154346563387644,0.0,2.0,100.0,8.919487289392507,1,0.0,0.0,172.23274326937567,0.0,0.17418290756177157,2.0470200481708143,103.0,xvla,12258.9501953125,13.0,17.89999999999999,18.0,24.89999999999999,2.0,actionstream_backend_aligned,canary,1.0,1,libero_goal
0.0,5.319880188455082,fixed_0000,0.09397763048764318,0.14341512025566766,0.0,1.0,121.0,10.724202919584055,1,0.0,0.0,352.03234672140485,0.0,0.08521944156382233,0.13297470962861546,127.0,xvla,12258.9501953125,3.0,5.0,28.0,29.0,1.0,actionstream_backend_aligned,canary,1.0,1,libero_goal
24.0,0.6435223707837114,fixed_0950,1.1229517755564302,2.492952727712691,158.0,1.0,295.0,12.87044741567423,1,0.0,0.0,189.25313683055236,182.0,0.15851784811820835,1.5251800020341761,300.0,xvla,12258.9501953125,25.0,29.0,0.0,15.050000000000011,1.0,actionstream_backend_aligned,canary,0.0,0,libero_goal
4.0,0.7949420778191877,burst_0250_to1800_canary,0.5251243495149538,3.621796712523789,32.0,1.0,69.0,11.273724012708481,1,2.0,2.0,182.00675407558268,36.0,0.16482904797885567,2.5921657925588044,156.0,xvla,12258.9501953125,17.0,46.05,14.0,28.0,1.0,actionstream_backend_guarded,canary,1.0,1,libero_goal
0.0,1.1500023061640312,disconnect_recovery_canary,0.41866082802880555,2.298628411570096,0.0,2.0,93.0,9.023095017594708,1,0.0,0.0,193.13710409172234,0.0,0.15533007052727044,2.0307770661544033,102.0,xvla,12258.9501953125,12.0,16.0,18.0,24.94999999999999,2.0,actionstream_backend_guarded,canary,1.0,1,libero_goal
0.0,5.7123658305017715,fixed_0000,0.09367131744511425,0.1293659221148118,0.0,1.0,128.0,10.845216286894669,1,0.0,0.0,354.11820436941326,0.0,0.08471747464500368,0.11790492816362526,131.0,xvla,12258.9501953125,3.0,4.0,28.0,29.0,1.0,actionstream_backend_guarded,canary,1.0,1,libero_goal
24.0,0.6433114063133966,fixed_0950,1.1223775619873777,2.4595079304417595,159.0,1.0,295.0,12.86622812626793,1,0.0,0.0,189.26449513590583,183.0,0.15850833500735462,1.4939501945045777,300.0,xvla,12258.9501953125,25.0,30.0,0.0,15.050000000000011,1.0,actionstream_backend_guarded,canary,0.0,0,libero_goal
,3.758732637997632,burst_0250_to1800_canary,0.4194604568183422,2.0576892254408445,,,503.0,12.198151202558352,1,,,353.0956655578008,23.0,0.08496281015686691,0.12841838910244402,172.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_goal
,1.5360105317952346,fixed_0000,0.2089485765900463,1.583620504650753,,,67.0,9.696066481957418,1,,,224.30650401610797,0.0,0.13374556449707597,1.4943612104980275,101.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_goal
,4.697149699989808,fixed_0950,1.0696841240860522,1.107904526987113,,,697.0,10.087321486863358,1,,,356.6378534485875,8.0,0.0841189450584352,0.14137451106216758,131.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_goal
,3.246981892177712,burst_0250_to1800_canary,0.43821782886516303,2.515524756920053,,,308.0,9.921333559431897,1,,,309.54322886388024,13.0,0.09691699640825391,0.9399704655166641,110.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,1,libero_goal
,1.5338391664911957,fixed_0000,0.14725503092631698,1.5376385807758197,,,51.0,9.682359738475673,1,,,300.07098154518553,0.0,0.09997634508181363,1.447675350238569,101.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,1,libero_goal
,4.516419017896156,fixed_0950,1.073565247002989,1.117100051091984,,,686.0,9.95143173434746,1,,,354.8297410188153,8.0,0.08454759151209146,0.13519573513185598,130.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,1,libero_goal
,0.642557629496798,burst_0250_to1800_canary,0.32311271445360035,0.43069886976154514,,,0.0,15.74266192267155,1,,,318.968913513427,0.0,0.09405305259861052,0.10207268240628764,98.0,xvla,3528.9501953125,,,,,,sync_hold,canary,1.0,1,libero_goal
,0.7590115009984301,fixed_0000,0.09889484546147287,0.10649304991820827,,,0.0,18.595781774461535,1,,,331.5375949204379,0.0,0.09048747550696135,0.09791549646761268,98.0,xvla,3520.8251953125,,,,,,sync_hold,canary,1.0,1,libero_goal
,0.44077782110674424,fixed_0950,1.0493791929911822,1.0595033777644858,,,0.0,10.799056617115234,1,,,327.746734838354,0.0,0.09153409267310053,0.10201959923142567,98.0,xvla,3528.9501953125,,,,,,sync_hold,canary,1.0,1,libero_goal
4.0,0.8559440412459305,burst_0250_to1800_canary,0.48671974102035165,3.463704265141855,49.0,1.0,131.0,11.412587216612406,1,0.0,0.0,175.2065584519991,53.0,0.1712264670059085,2.2705403923056946,160.0,xvla,12258.9501953125,15.0,27.69999999999999,11.5,23.0,1.0,actionstream_backend_aligned,canary,1.0,1,libero_object
0.0,1.1706440373366045,disconnect_recovery_canary,0.4526071429718286,1.8461253487621434,0.0,2.0,120.0,10.30166752856212,1,0.0,0.0,160.948162751959,0.0,0.1863954175496474,1.5816196812666021,132.0,xvla,12258.9501953125,13.0,18.0,17.0,23.44999999999999,2.0,actionstream_backend_aligned,canary,1.0,1,libero_object
0.0,5.832667998446549,fixed_0000,0.09626146650407463,0.12244727907236667,0.0,1.0,154.0,11.377303009315492,1,0.0,0.0,343.124884244401,0.0,0.08743172348476946,0.1064340606564656,158.0,xvla,12258.9501953125,3.0,4.0,28.0,29.0,1.0,actionstream_backend_aligned,canary,1.0,1,libero_object
24.0,0.646409348496339,fixed_0950,1.122017077053897,2.4339774785912596,157.0,1.0,294.0,12.92818696992678,1,0.0,0.0,191.0651674517257,181.0,0.157014490920119,1.4703957035089843,300.0,xvla,12258.9501953125,25.0,30.0,0.0,15.050000000000011,1.0,actionstream_backend_aligned,canary,0.0,0,libero_object
4.0,1.125017179246878,burst_0250_to1800_canary,0.4606188340112567,2.216059166495691,27.0,1.0,128.0,12.61203469366237,1,2.0,2.0,202.5421830908129,31.0,0.14811729360371828,0.5307969343382903,213.0,xvla,12258.9501953125,14.0,42.94999999999999,16.0,27.0,1.0,actionstream_backend_guarded,canary,1.0,1,libero_object
0.0,1.3069312260223356,disconnect_recovery_canary,0.4020197798963636,1.2677860163850636,0.0,2.0,128.0,10.14793657852637,1,0.0,0.0,214.02443872898962,0.0,0.1401709084166214,1.00061043777968,132.0,xvla,12258.9501953125,12.0,17.0,18.0,23.44999999999999,2.0,actionstream_backend_guarded,canary,1.0,1,libero_object
0.0,5.889872091895484,fixed_0000,0.09251764300279319,0.15003958638990297,0.0,1.0,148.0,11.626760493092384,1,0.0,0.0,358.0743083936254,0.0,0.08378149254713207,0.14062080470612273,152.0,xvla,12258.9501953125,3.0,4.0,28.0,29.0,1.0,actionstream_backend_guarded,canary,1.0,1,libero_object
24.0,0.6459018342778083,fixed_0950,1.1209940989501774,2.4626187097164802,154.0,1.0,293.0,12.918036685556167,1,0.0,0.0,186.0431704054011,178.0,0.16125289595220238,1.4993885776493698,300.0,xvla,12258.9501953125,25.0,29.0,0.0,15.050000000000011,1.0,actionstream_backend_guarded,canary,0.0,0,libero_object
,3.8307911801005554,burst_0250_to1800_canary,0.3947343351319432,1.9089638818986707,,,420.0,11.787049784924786,1,,,346.3928720713342,14.0,0.08660686295479536,0.13388569266535338,160.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_object
,1.6502995167628456,fixed_0000,0.16083137202076614,0.7730328153585903,,,70.0,10.42294431639692,1,,,259.43971833584146,0.0,0.115633798064664,0.6974556697765251,120.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_object
,5.4379791583145165,fixed_0950,1.0645918138325214,1.1303703618003054,,,981.0,11.224546724213297,1,,,363.0931719306095,7.0,0.08262342098169029,0.12751742247492073,161.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_object
,4.038359509973653,burst_0250_to1800_canary,0.3994534348603338,2.05240657532122,,,874.0,14.596480156531278,1,,,292.99945473261755,29.0,0.10238926904276013,0.13680235198698934,300.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,0.0,0,libero_object
,1.6781361924942304,fixed_0000,0.18469557561911643,0.5646264357259535,,,82.0,10.48835120308894,1,,,227.60554945699442,0.0,0.13180697953794152,0.4364642944536211,125.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,1,libero_object
,4.668773506641724,fixed_0950,1.08066148951184,1.154920677805785,,,815.0,11.2828693077175,1,,,341.51687879185437,9.0,0.08784338890109211,0.16034657543059427,174.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,1,libero_object
,0.46389561473466295,burst_0250_to1800_canary,0.2844550309237093,1.760956631181761,,,0.0,13.452972827305226,1,,,322.05240297893465,0.0,0.09315254201646894,0.10581426940625534,116.0,xvla,3528.9501953125,,,,,,sync_hold,canary,1.0,1,libero_object
,0.6470162012529755,fixed_0000,0.10136109846644104,0.11384351387387141,,,0.0,18.76346983633629,1,,,320.83553430323025,0.0,0.09350585204083472,0.10513109538005665,116.0,xvla,3520.8251953125,,,,,,sync_hold,canary,1.0,1,libero_object
,0.4002138810702378,fixed_0950,1.0530616095056757,1.068750993476715,,,0.0,11.606202551036898,1,,,315.30088794544946,0.0,0.09514721063897014,0.10273195034824312,116.0,xvla,3528.9501953125,,,,,,sync_hold,canary,1.0,1,libero_object
4.0,0.8584873915892224,burst_0250_to1800_canary,0.4434831680264324,3.150656615756448,51.0,1.0,146.0,10.608451338923961,1,0.0,0.0,189.56015036970115,55.0,0.1582611110061407,1.8208030298585018,173.0,xvla,12258.9501953125,13.5,27.0,12.0,24.0,1.0,actionstream_backend_aligned,canary,1.0,1,libero_spatial
0.0,1.252405069701872,disconnect_recovery_canary,0.4400124124949798,1.299779104790643,0.0,2.0,137.0,10.461265876333284,1,0.0,0.0,173.27104521964944,0.0,0.17313914140686393,1.0272179697989414,142.0,xvla,12258.9501953125,14.0,19.94999999999999,17.0,22.94999999999999,2.0,actionstream_backend_aligned,canary,1.0,1,libero_spatial
0.0,7.1466414615205744,fixed_0000,0.09163387108128518,0.12048021594528108,0.0,1.0,221.0,13.39244576402595,1,0.0,0.0,360.1445637156109,0.0,0.08329988294281065,0.10894117940915747,223.0,xvla,12258.9501953125,3.0,4.0,28.0,29.0,1.0,actionstream_backend_aligned,canary,1.0,1,libero_spatial
12.0,0.5316169497484927,fixed_0950,1.1407338476274163,4.090846441802563,88.0,1.0,164.0,10.218859145165471,1,0.0,0.0,170.40092531223888,100.0,0.17605538200587034,3.1251556550618207,173.0,xvla,12258.9501953125,25.0,29.39999999999999,0.0,21.400000000000006,1.0,actionstream_backend_aligned,canary,1.0,1,libero_spatial
10.0,0.9687760263024824,burst_0250_to1800_canary,0.4449981530196965,2.0245195851661264,62.0,1.0,122.0,13.839657518606892,1,4.0,4.0,194.44708027672414,72.0,0.15428362286183983,0.19323008513310924,300.0,xvla,12258.9501953125,15.0,43.0,15.0,27.05000000000001,1.0,actionstream_backend_guarded,canary,0.0,0,libero_spatial
0.0,1.317976898351785,disconnect_recovery_canary,0.41686947899870574,1.0463641410693414,0.0,2.0,138.0,10.617036125611602,1,0.0,0.0,197.97775344612404,0.0,0.15153217711485922,0.7787153957411534,145.0,xvla,12258.9501953125,13.0,18.0,18.0,23.0,2.0,actionstream_backend_guarded,canary,1.0,1,libero_spatial
0.0,6.563270003235411,fixed_0000,0.09275651909410954,0.13434812068007884,0.0,1.0,201.0,12.935376802493092,1,0.0,0.0,355.3914517844455,0.0,0.08441396057605743,0.12318101911805569,203.0,xvla,12258.9501953125,3.0,5.0,28.0,29.0,1.0,actionstream_backend_guarded,canary,1.0,1,libero_spatial
14.0,0.5432597853046166,fixed_0950,1.1301726205274463,3.999654252757313,79.0,1.0,158.0,10.261573722420534,1,0.0,0.0,181.28570680539843,93.0,0.16548464039806277,3.0345630037598257,170.0,xvla,12258.9501953125,25.0,30.0,0.0,21.549999999999983,1.0,actionstream_backend_guarded,canary,1.0,1,libero_spatial
,4.427271244968598,burst_0250_to1800_canary,0.41977985785342753,1.9143976195016874,,,910.0,12.409775459381674,1,,,338.63884853714853,15.0,0.08858995395712554,0.14072167468257246,185.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_spatial
,1.8266244084179581,fixed_0000,0.1557112893788144,0.2926299893879331,,,75.0,11.12580321490938,1,,,336.54851415768644,0.0,0.0891401944682002,0.1461466481676325,134.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_spatial
,5.435639320059154,fixed_0950,1.0697823150549084,1.1160389177501202,,,1012.0,11.777218526794833,1,,,340.3516451749101,8.0,0.08814413100481033,0.14195725177414706,182.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,1,libero_spatial
