suite,task_id,task_instruction,runtime,initial_state_index,seed,success,environment_steps,wall_clock_episode_seconds,inference_requests_per_second,inference_calls,depletion_safe_hold_steps,hold_steps,inference_latency_p50_seconds,inference_latency_p95_seconds,delivery_latency_p50_seconds,delivery_latency_p95_seconds,queue_age_p50_steps,queue_age_p95_steps,queue_depth_p50_steps,queue_depth_p95_steps,observations_superseded,dropped_prefix_steps,responses_scheduled,responses_delivered,responses_rejected_out_of_order,fallback_activations,inference_errors,inference_timeouts,peak_cuda_memory_mib,trace_sha256,telemetry_jsonl_sha256,video_sha256
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_aligned,10,2026102210,True,159,9.606922747101635,0.9368244376395407,9,63,76,0.10566044971346855,0.11055694855749607,1.0683908858336508,1.0710409033112227,24.0,29.0,1.0,22.099999999999994,149,149,0,0,0,0,0,0,3520.8251953125,8ff208e7efd56e5e6ae14d3b602e48c0d2d891deebf05dabe7ec43f4377b4c01,70bc5df881dfcb45b7c8c4b5b4e105c944fe8046c3b05175039374835d190214,fa1be9745023ba13f811ef8dfa4a6afaad5e8899dfaf17884bdd48235a217ae4
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_pipelined_aligned,10,2026102210,True,130,7.593349156435579,11.062312330101088,84,0,0,0.06944354972802103,0.08815698460675771,1.026166090508923,1.0477188203018157,21.0,22.0,9.0,23.549999999999997,46,1421,83,70,0,0,0,0,3520.8251953125,6a81d780805982a40a5e134e3182aa248a3644fa25c3605c5d46efd6d8d2ffd0,203a297dd5d6b91973f4bec5d7dd838224ce5f113a6512bca32c662e3079d2e8,4f832e815f40490b8bc8fea3636fdafe8fe969e2fa8e42197c3504d5cf4d5834
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_aligned,11,2026102211,True,163,9.996002917177975,0.9003598813015191,9,75,87,0.12594810500741005,0.2524487280286848,1.0894142179749906,1.2176367795094847,24.0,29.0,0.0,21.900000000000006,153,157,0,0,0,0,0,0,3520.8251953125,1bf52998ac7717d578603e699b71a3a457b78a5d2cbe86ee20726466280e7de0,73e16b9d9e4660ec5f30ac39b9e82064771e0987b7f54ee2170462a9bd24c251,
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_pipelined_aligned,11,2026102211,True,127,7.428524134680629,10.634683090168949,79,0,0,0.06882789824157953,0.09795398162677883,1.025635383091867,1.0575944410637022,21.0,24.69999999999999,9.0,23.69999999999999,48,1322,78,65,0,0,0,0,3520.8251953125,61cfb8f12e2df0826ad1d2c0d5557e3942066415edb3c1c3e6bf2877c9f4ed7a,d900d6b211fbc3b56c644417f5f69a8762031ec0aaafe19e7fd22c225f6b40a5,
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_aligned,12,2026102212,True,172,10.236676029860973,0.8791916412853628,9,83,97,0.15849635703489184,0.246779403463006,1.1220800150185823,1.2133215272799134,25.0,29.0,0.0,21.44999999999999,162,161,0,0,0,0,0,0,3520.8251953125,c13cc69a4ff774e4901671d30fe91d314550789e3d890420ca05bb56611dc791,5455a7b11114128531115245e83907862bd177b701bb00f7187de45810e223aa,
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_pipelined_aligned,12,2026102212,True,132,7.6772955558262765,10.02957349239537,77,0,0,0.07450150209479034,0.11729367645457386,1.0324382383842021,1.0809585875831544,21.0,23.0,9.0,23.44999999999999,55,1306,76,64,0,0,0,0,3520.8251953125,90592ca2e36c93f9fe147c53fdcbc11de49b6e62d93cb4ac09cf71dfd5830820,f833753453b266736c6275a4677f400e861e9820c4e4aa106712d7983cb224fa,
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_aligned,13,2026102213,True,141,8.802733426913619,0.9088086179618562,8,61,71,0.13370200875215232,0.16917131461668758,1.0959107163362205,1.1328182667260989,24.0,29.0,0.0,23.0,132,133,0,0,0,0,0,0,3520.8251953125,e8778e4a6b9e6328291f80ee95895a97429c065cd1946e7030cdb28267fe962c,475f24523c6ba7a534271b85d34d0f5d2e20415000753c9b198773701bbb8648,
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_pipelined_aligned,13,2026102213,False,300,16.06476164376363,11.51588825918356,185,0,0,0.07224914850667119,0.08264906690455971,1.0304555280599743,1.039759519859217,21.0,22.0,9.0,15.050000000000011,115,3520,184,172,0,0,0,0,3520.8251953125,e94e7ecfb47edf568b063857e83b8ac7cac49c0c479fd1b2ee11a75c07fab1b8,eef1f6e03de6f33f672b98d1065dfcc491de2a8aae77485c785224cda08cb19a,
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_aligned,14,2026102214,True,169,10.053771326784045,0.89518646361324,9,77,91,0.14038405800238252,0.22188859740272163,1.1047903471626341,1.1861986994743348,24.0,29.0,0.0,21.599999999999994,159,158,0,0,0,0,0,0,3520.8251953125,b9fc66e61479597bda038ce79cd4950072cd50aa59a93b103a759f27cda2cfdd,66cfe92823d28c2ed6c0ae7df05f765a991b77205603c169eb38720130b33ba6,
libero_object,5,pick up the tomato sauce and place it in the basket,actionstream_backend_pipelined_aligned,14,2026102214,False,300,16.034285499248654,11.600142707245404,186,0,0,0.07146890601143241,0.08625098699703813,1.0285286069847643,1.043690261617303,21.0,22.0,9.0,15.050000000000011,114,3533,185,173,0,0,0,0,3520.8251953125,fa9c3dd95aa3694662e286257737eeed9da84ac5d532da1c634364ecdf5531fd,26c3dda1027c3b8d3f1fe21de537cd980d2c9d5981cbd740e3b96355c4ba44e2,
